id,title,genre_ids,vote_count,rating,budget,revenue,production_countries,imdb_ids
278,The Shawshank Redemption,"[18, 80]",27882,8.708,25000000,28341469,['US'],tt0111161
238,The Godfather,"[18, 80]",21149,8.689,6000000,245066411,['US'],tt0068646
240,The Godfather Part II,"[18, 80]",12769,8.57,13000000,102600000,['US'],tt0071562
424,Schindler's List,"[18, 36, 10752]",16218,8.567,22000000,321365567,['US'],tt0108052
1356039,Counterattack,"[28, 12, 53]",426,8.54,0,0,['MX'],tt23648788
389,12 Angry Men,[18],8954,8.5,397751,4360000,['US'],tt0050083
129,Spirited Away,"[16, 10751, 14]",16909,8.5,19000000,274925095,['JP'],tt0245429
19404,Dilwale Dulhania Le Jayenge,"[35, 18, 10749]",4467,8.5,13200000,100000000,['IN'],tt0112870
155,The Dark Knight,"[18, 28, 80, 53]",33540,8.5,185000000,1004558444,"['GB', 'US']",tt0468569
497,The Green Mile,"[14, 18, 80]",17892,8.505,60000000,286801374,['US'],tt0120689
496243,Parasite,"[35, 53, 18]",18786,8.5,11363000,257591776,['KR'],tt6751668
680,Pulp Fiction,"[53, 80]",28426,8.5,8000000,213928762,['US'],tt0110912
372058,Your Name.,"[16, 10749, 18]",11643,8.485,0,358000000,['JP'],tt5311514
122,The Lord of the Rings: The Return of the King,"[12, 14, 28]",24792,8.481,94000000,1118888979,"['NZ', 'US']",tt0167260
13,Forrest Gump,"[35, 18, 10749]",27952,8.468,55000000,677387716,['US'],tt0109830
429,"The Good, the Bad and the Ugly",[37],8854,8.5,1200000,38900000,"['US', 'IT', 'ES', 'DE']",tt0060196
346,Seven Samurai,"[28, 18]",3820,8.458,2000000,105000000,['JP'],tt0047478
769,GoodFellas,"[18, 80]",13175,8.457,25000000,46800000,['US'],tt0099685
157336,Interstellar,"[12, 18, 878]",36702,8.5,165000000,746606706,"['GB', 'US']",tt0816692
12477,Grave of the Fireflies,"[16, 18, 10752]",5776,8.451,3700000,516962,['JP'],tt0095327
637,Life Is Beautiful,"[35, 18]",13237,8.446,20000000,230098753,['IT'],tt0118799
550,Fight Club,[18],29969,8.438,63000000,100853753,"['DE', 'US']",tt0137523
11216,Cinema Paradiso,"[18, 10749]",4477,8.4,5000000,11990401,"['FR', 'IT']",tt0095765
598,City of God,"[18, 80]",7545,8.426,3300000,30641770,"['BR', 'FR', 'DE']",tt0317248
539,Psycho,"[27, 53, 9648]",10250,8.4,806947,50048065,['US'],tt0054215
667257,Impossible Things,"[10751, 18]",398,8.4,0,0,['MX'],tt10032342
120,The Lord of the Rings: The Fellowship of the Ring,"[12, 14, 28]",25710,8.4,93000000,871368364,"['NZ', 'US']",tt0120737
311,Once Upon a Time in America,"[18, 80]",5523,8.415,30000000,5500000,['US'],tt0087843
510,One Flew Over the Cuckoo's Nest,[18],10650,8.4,3000000,108981275,['US'],tt0073486
696374,Gabriel's Inferno,"[10749, 18]",2416,8.413,0,0,['US'],tt11316854
14537,Harakiri,"[28, 18, 36]",1044,8.412,0,0,['JP'],tt0056058
40096,A Dog's Will,"[35, 18, 14]",1141,8.411,0,4903192,['BR'],tt0271383
121,The Lord of the Rings: The Two Towers,"[12, 14, 28]",22328,8.401,79000000,926287400,"['NZ', 'US']",tt0167261
4935,Howl's Moving Castle,"[14, 16, 12]",10149,8.4,24000000,236049757,['JP'],tt0347149
324857,Spider-Man: Into the Spider-Verse,"[16, 28, 12, 878]",15964,8.395,90000000,384298736,['US'],tt4633694
1891,The Empire Strikes Back,"[12, 28, 878]",17243,8.4,18000000,538400000,['US'],tt0080684
704264,Primal: Tales of Savagery,"[28, 12, 16, 18]",328,8.387,0,0,['US'],tt11191124
1058694,Radical,[18],444,8.384,10000000,21761164,"['MX', 'US']",tt14570440
724089,Gabriel's Inferno: Part II,"[10749, 18]",1518,8.383,0,0,[],tt13535454
378064,A Silent Voice: The Movie,"[16, 18, 10749]",4049,8.4,0,30819442,['JP'],tt5323662
770156,Lucy Shimmers and the Prince of Peace,"[18, 10751]",300,8.4,0,0,['US'],tt11916254
423,The Pianist,"[18, 10752]",9387,8.379,35000000,120098945,"['FR', 'DE', 'PL', 'GB']",tt0253474
761053,Gabriel's Inferno: Part III,"[10749, 18]",1057,8.378,0,0,['US'],tt13535456
255709,Hope,[18],757,8.4,0,0,['KR'],tt3153634
244786,Whiplash,"[18, 10402]",15456,8.375,3300000,50307484,['US'],tt2582802
807,Se7en,"[80, 9648, 53]",21482,8.374,33000000,327311859,['US'],tt0114369
27205,Inception,"[28, 878, 12]",37174,8.4,160000000,839030630,"['GB', 'US']",tt1375666
620249,The Legend of Hei,"[16, 14, 28]",379,8.4,0,48045728,['CN'],tt10734928
567,Rear Window,"[53, 9648]",6612,8.35,1000000,37042336,['US'],tt0047396
569094,Spider-Man: Across the Spider-Verse,"[16, 28, 12, 878]",7380,8.345,100000000,690897910,['US'],tt9362722
274,The Silence of the Lambs,"[80, 18, 53]",16630,8.345,19000000,272742922,['US'],tt0102926
372754,Dou kyu sei – Classmates,"[10749, 16]",399,8.3,0,0,['JP'],tt5526028
12493,High and Low,"[18, 80, 9648, 53]",953,8.339,250000,0,['JP'],tt0057565
73,American History X,[18],11755,8.339,20000000,23900000,['US'],tt0120586
1184918,The Wild Robot,"[16, 878, 10751]",4526,8.337,78000000,331982078,['US'],tt29623480
128,Princess Mononoke,"[12, 14, 16]",8202,8.3,23500000,169000000,['JP'],tt0119698
820067,The Quintessential Quintuplets Movie,"[16, 35, 10749]",405,8.3,0,17288993,['JP'],tt15721650
105,Back to the Future,"[12, 35, 878]",20324,8.317,19000000,381109762,['US'],tt0088763
15804,A Brighter Summer Day,"[80, 18, 10749]",333,8.3,0,0,['TW'],tt0101985
3782,Ikiru,[18],1180,8.3,0,55240,['JP'],tt0044741
644479,Dedicated to my ex,"[18, 35]",503,8.3,0,1315376,"['CO', 'EC', 'US']",tt5869370
