id,title,genre_ids,vote_count,rating,budget,revenue,production_countries,imdb_ids,profit,ROI,country_name
278,The Shawshank Redemption,"[18, 80]",27882,8.708,25000000,28341469,US,tt0111161,3341469,0.13365876,United States
238,The Godfather,"[18, 80]",21149,8.689,6000000,245066411,US,tt0068646,239066411,39.844401833333336,United States
240,The Godfather Part II,"[18, 80]",12769,8.57,13000000,102600000,US,tt0071562,89600000,6.892307692307693,United States
424,Schindler's List,"[18, 36, 10752]",16218,8.567,22000000,321365567,US,tt0108052,299365567,13.607525772727273,United States
389,12 Angry Men,[18],8954,8.5,397751,4360000,US,tt0050083,3962249,9.961631774652986,United States
129,Spirited Away,"[16, 10751, 14]",16909,8.5,19000000,274925095,JP,tt0245429,255925095,13.469741842105263,Japan
19404,Dilwale Dulhania Le Jayenge,"[35, 18, 10749]",4467,8.5,13200000,100000000,IN,tt0112870,86800000,6.575757575757576,India
155,The Dark Knight,"[18, 28, 80, 53]",33540,8.5,185000000,1004558444,GB,tt0468569,819558444,4.430045643243243,United Kingdom
155,The Dark Knight,"[18, 28, 80, 53]",33540,8.5,185000000,1004558444,US,tt0468569,819558444,4.430045643243243,United States
497,The Green Mile,"[14, 18, 80]",17892,8.505,60000000,286801374,US,tt0120689,226801374,3.7800229,United States
496243,Parasite,"[35, 53, 18]",18786,8.5,11363000,257591776,KR,tt6751668,246228776,21.669345771363197,"Korea, Republic of"
680,Pulp Fiction,"[53, 80]",28426,8.5,8000000,213928762,US,tt0110912,205928762,25.74109525,United States
122,The Lord of the Rings: The Return of the King,"[12, 14, 28]",24792,8.481,94000000,1118888979,NZ,tt0167260,1024888979,10.903074244680852,New Zealand
122,The Lord of the Rings: The Return of the King,"[12, 14, 28]",24792,8.481,94000000,1118888979,US,tt0167260,1024888979,10.903074244680852,United States
13,Forrest Gump,"[35, 18, 10749]",27952,8.468,55000000,677387716,US,tt0109830,622387716,11.316140290909091,United States
429,"The Good, the Bad and the Ugly",[37],8854,8.5,1200000,38900000,US,tt0060196,37700000,31.416666666666668,United States
429,"The Good, the Bad and the Ugly",[37],8854,8.5,1200000,38900000,IT,tt0060196,37700000,31.416666666666668,Italy
429,"The Good, the Bad and the Ugly",[37],8854,8.5,1200000,38900000,ES,tt0060196,37700000,31.416666666666668,Spain
429,"The Good, the Bad and the Ugly",[37],8854,8.5,1200000,38900000,DE,tt0060196,37700000,31.416666666666668,Germany
346,Seven Samurai,"[28, 18]",3820,8.458,2000000,105000000,JP,tt0047478,103000000,51.5,Japan
769,GoodFellas,"[18, 80]",13175,8.457,25000000,46800000,US,tt0099685,21800000,0.872,United States
157336,Interstellar,"[12, 18, 878]",36702,8.5,165000000,746606706,GB,tt0816692,581606706,3.5248891272727274,United Kingdom
157336,Interstellar,"[12, 18, 878]",36702,8.5,165000000,746606706,US,tt0816692,581606706,3.5248891272727274,United States
12477,Grave of the Fireflies,"[16, 18, 10752]",5776,8.451,3700000,516962,JP,tt0095327,-3183038,-0.8602805405405406,Japan
637,Life Is Beautiful,"[35, 18]",13237,8.446,20000000,230098753,IT,tt0118799,210098753,10.50493765,Italy
550,Fight Club,[18],29969,8.438,63000000,100853753,DE,tt0137523,37853753,0.6008532222222223,Germany
550,Fight Club,[18],29969,8.438,63000000,100853753,US,tt0137523,37853753,0.6008532222222223,United States
11216,Cinema Paradiso,"[18, 10749]",4477,8.4,5000000,11990401,FR,tt0095765,6990401,1.3980802,France
11216,Cinema Paradiso,"[18, 10749]",4477,8.4,5000000,11990401,IT,tt0095765,6990401,1.3980802,Italy
598,City of God,"[18, 80]",7545,8.426,3300000,30641770,BR,tt0317248,27341770,8.28538484848485,Brazil
598,City of God,"[18, 80]",7545,8.426,3300000,30641770,FR,tt0317248,27341770,8.28538484848485,France
598,City of God,"[18, 80]",7545,8.426,3300000,30641770,DE,tt0317248,27341770,8.28538484848485,Germany
539,Psycho,"[27, 53, 9648]",10250,8.4,806947,50048065,US,tt0054215,49241118,61.02150203173195,United States
120,The Lord of the Rings: The Fellowship of the Ring,"[12, 14, 28]",25710,8.4,93000000,871368364,NZ,tt0120737,778368364,8.369552301075268,New Zealand
120,The Lord of the Rings: The Fellowship of the Ring,"[12, 14, 28]",25710,8.4,93000000,871368364,US,tt0120737,778368364,8.369552301075268,United States
311,Once Upon a Time in America,"[18, 80]",5523,8.415,30000000,5500000,US,tt0087843,-24500000,-0.8166666666666667,United States
510,One Flew Over the Cuckoo's Nest,[18],10650,8.4,3000000,108981275,US,tt0073486,105981275,35.32709166666667,United States
121,The Lord of the Rings: The Two Towers,"[12, 14, 28]",22328,8.401,79000000,926287400,NZ,tt0167261,847287400,10.725156962025316,New Zealand
121,The Lord of the Rings: The Two Towers,"[12, 14, 28]",22328,8.401,79000000,926287400,US,tt0167261,847287400,10.725156962025316,United States
4935,Howl's Moving Castle,"[14, 16, 12]",10149,8.4,24000000,236049757,JP,tt0347149,212049757,8.835406541666666,Japan
324857,Spider-Man: Into the Spider-Verse,"[16, 28, 12, 878]",15964,8.395,90000000,384298736,US,tt4633694,294298736,3.2699859555555557,United States
1891,The Empire Strikes Back,"[12, 28, 878]",17243,8.4,18000000,538400000,US,tt0080684,520400000,28.91111111111111,United States
1058694,Radical,[18],444,8.384,10000000,21761164,MX,tt14570440,11761164,1.1761164,Mexico
1058694,Radical,[18],444,8.384,10000000,21761164,US,tt14570440,11761164,1.1761164,United States
423,The Pianist,"[18, 10752]",9387,8.379,35000000,120098945,FR,tt0253474,85098945,2.4313984285714287,France
423,The Pianist,"[18, 10752]",9387,8.379,35000000,120098945,DE,tt0253474,85098945,2.4313984285714287,Germany
423,The Pianist,"[18, 10752]",9387,8.379,35000000,120098945,PL,tt0253474,85098945,2.4313984285714287,Poland
423,The Pianist,"[18, 10752]",9387,8.379,35000000,120098945,GB,tt0253474,85098945,2.4313984285714287,United Kingdom
244786,Whiplash,"[18, 10402]",15456,8.375,3300000,50307484,US,tt2582802,47007484,14.244692121212122,United States
807,Se7en,"[80, 9648, 53]",21482,8.374,33000000,327311859,US,tt0114369,294311859,8.918541181818181,United States
27205,Inception,"[28, 878, 12]",37174,8.4,160000000,839030630,GB,tt1375666,679030630,4.2439414375,United Kingdom
27205,Inception,"[28, 878, 12]",37174,8.4,160000000,839030630,US,tt1375666,679030630,4.2439414375,United States
567,Rear Window,"[53, 9648]",6612,8.35,1000000,37042336,US,tt0047396,36042336,36.042336,United States
569094,Spider-Man: Across the Spider-Verse,"[16, 28, 12, 878]",7380,8.345,100000000,690897910,US,tt9362722,590897910,5.9089791,United States
274,The Silence of the Lambs,"[80, 18, 53]",16630,8.345,19000000,272742922,US,tt0102926,253742922,13.354890631578947,United States
73,American History X,[18],11755,8.339,20000000,23900000,US,tt0120586,3900000,0.195,United States
1184918,The Wild Robot,"[16, 878, 10751]",4526,8.337,78000000,331982078,US,tt29623480,253982078,3.256180487179487,United States
128,Princess Mononoke,"[12, 14, 16]",8202,8.3,23500000,169000000,JP,tt0119698,145500000,6.191489361702128,Japan
105,Back to the Future,"[12, 35, 878]",20324,8.317,19000000,381109762,US,tt0088763,362109762,19.05840852631579,United States
207,Dead Poets Society,[18],11531,8.303,16400000,235900000,US,tt0097165,219500000,13.384146341463415,United States
10494,Perfect Blue,"[16, 53]",2749,8.301,830000,112536,JP,tt0156887,-717464,-0.8644144578313253,Japan
914,The Great Dictator,"[35, 10752]",3423,8.3,2000000,11000000,US,tt0032553,9000000,4.5,United States
101,Léon: The Professional,"[80, 18, 28]",15058,8.302,16000000,45284974,FR,tt0110413,29284974,1.830310875,France
