genre,id,title,rating,production_countries,budget,revenue,imdb_ids,Plot
Action,1356039,Counterattack,8.575,['MX'],0,0,tt12851480,"The series is based on the records of the Egyptian intelligence agency. It explores the idea of an invisible hand behind the January 25th revolution, and tells of how the Egyptian intelligence agency has dealt with it."
Action,155,The Dark Knight,8.519,"['GB', 'US']",185000000,1004558444,tt0468569,"When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness."
Action,122,The Lord of the Rings: The Return of the King,8.481,"['NZ', 'US']",94000000,1118888979,tt0167260,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
Action,346,Seven Samurai,8.458,['JP'],2000000,105000000,tt0047478,"Farmers from a village exploited by bandits hire a veteran samurai for protection, and he gathers six other samurai to join him."
Action,120,The Lord of the Rings: The Fellowship of the Ring,8.418,"['NZ', 'US']",93000000,871368364,tt0120737,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
Action,14537,Harakiri,8.4,['JP'],0,0,tt0056058,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity."
Action,121,The Lord of the Rings: The Two Towers,8.401,"['NZ', 'US']",79000000,926287400,tt0167261,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
Action,324857,Spider-Man: Into the Spider-Verse,8.396,['US'],90000000,384298736,tt4633694,Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.
Action,1891,The Empire Strikes Back,8.391,['US'],18000000,538400000,tt0080684,"After the Empire overpowers the Rebel Alliance, Luke Skywalker begins his Jedi training with Yoda. At the same time, Darth Vader and bounty hunter Boba Fett pursue his friends across the galaxy."
Action,704264,Primal: Tales of Savagery,8.387,['US'],0,0,tt11191124,"GENNDY TARTAKOVSKY'S PRIMAL - TALES OF SAVAGERY features a caveman and a dinosaur on the brink of extinction. Bonded by tragedy, this unlikely friendship becomes the only hope of survival."
Action,27205,Inception,8.369,"['GB', 'US']",160000000,839030630,tt1375666,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
